scenario,variable,t,level,baseline_level,dev_pct
unanticipated,Y,137,3.276915782,7.769702396,-57.82443632
unanticipated,Y,138,3.317618972,7.886247932,-57.93159179
unanticipated,Y,139,3.359180117,8.004541651,-58.03407286
unanticipated,Y,140,3.401606671,8.124609776,-58.13206093
unanticipated,Y,141,3.444906181,8.246478923,-58.2257323
unanticipated,Y,142,3.489086303,8.370176107,-58.31525814
unanticipated,Y,143,3.534154811,8.495728748,-58.4008045
unanticipated,Y,144,3.580119612,8.623164679,-58.48253229
unanticipated,Y,145,3.626988756,8.75251215,-58.5605973
unanticipated,Y,146,3.67477045,8.883799832,-58.63515028
unanticipated,Y,147,3.723473065,9.017056829,-58.70633694
unanticipated,Y,148,3.773105149,9.152312682,-58.77429804
unanticipated,Y,149,3.823675434,9.289597372,-58.83916944
baseline,C,0,0.8073023882,0.8073023882,0
baseline,C,1,0.819411924,0.819411924,0
baseline,C,2,0.8317031029,0.8317031029,0
baseline,C,3,0.8441786494,0.8441786494,0
baseline,C,4,0.8568413292,0.8568413292,0
baseline,C,5,0.8696939491,0.8696939491,0
baseline,C,6,0.8827393584,0.8827393584,0
baseline,C,7,0.8959804487,0.8959804487,0
baseline,C,8,0.9094201555,0.9094201555,0
baseline,C,9,0.9230614578,0.9230614578,0
baseline,C,10,0.9369073797,0.9369073797,0
baseline,C,11,0.9509609904,0.9509609904,0
baseline,C,12,0.9652254052,0.9652254052,0
baseline,C,13,0.9797037863,0.9797037863,0
baseline,C,14,0.9943993431,0.9943993431,0
baseline,C,15,1.009315333,1.009315333,0
baseline,C,16,1.024455063,1.024455063,0
baseline,C,17,1.039821889,1.039821889,0
baseline,C,18,1.055419218,1.055419218,0
baseline,C,19,1.071250506,1.071250506,0
baseline,C,20,1.087319263,1.087319263,0
baseline,C,21,1.103629052,1.103629052,0
baseline,C,22,1.120183488,1.120183488,0
baseline,C,23,1.13698624,1.13698624,0
baseline,C,24,1.154041034,1.154041034,0
baseline,C,25,1.17135165,1.17135165,0
baseline,C,26,1.188921924,1.188921924,0
baseline,C,27,1.206755753,1.206755753,0
baseline,C,28,1.224857089,1.224857089,0
baseline,C,29,1.243229946,1.243229946,0
baseline,C,30,1.261878395,1.261878395,0
baseline,C,31,1.280806571,1.280806571,0
baseline,C,32,1.300018669,1.300018669,0
baseline,C,33,1.31951895,1.31951895,0
baseline,C,34,1.339311734,1.339311734,0
baseline,C,35,1.35940141,1.35940141,0
baseline,C,36,1.379792431,1.379792431,0
baseline,C,37,1.400489317,1.400489317,0
baseline,C,38,1.421496657,1.421496657,0
baseline,C,39,1.442819107,1.442819107,0
baseline,C,40,1.464461394,1.464461394,0
baseline,C,41,1.486428314,1.486428314,0
baseline,C,42,1.508724739,1.508724739,0
baseline,C,43,1.53135561,1.53135561,0
baseline,C,44,1.554325944,1.554325944,0
baseline,C,45,1.577640834,1.577640834,0
baseline,C,46,1.601305446,1.601305446,0
baseline,C,47,1.625325028,1.625325028,0
baseline,C,48,1.649704903,1.649704903,0
baseline,C,49,1.674450477,1.674450477,0
baseline,C,50,1.699567234,1.699567234,0
baseline,C,51,1.725060742,1.725060742,0
baseline,C,52,1.750936654,1.750936654,0
baseline,C,53,1.777200703,1.777200703,0
baseline,C,54,1.803858714,1.803858714,0
baseline,C,55,1.830916595,1.830916595,0
baseline,C,56,1.858380344,1.858380344,0
baseline,C,57,1.886256049,1.886256049,0
baseline,C,58,1.914549889,1.914549889,0
baseline,C,59,1.943268138,1.943268138,0
baseline,C,60,1.97241716,1.97241716,0
baseline,C,61,2.002003417,2.002003417,0
baseline,C,62,2.032033469,2.032033469,0
baseline,C,63,2.062513971,2.062513971,0
baseline,C,64,2.09345168,2.09345168,0
baseline,C,65,2.124853455,2.124853455,0
baseline,C,66,2.156726257,2.156726257,0
baseline,C,67,2.189077151,2.189077151,0
baseline,C,68,2.221913308,2.221913308,0
baseline,C,69,2.255242008,2.255242008,0
baseline,C,70,2.289070638,2.289070638,0
baseline,C,71,2.323406698,2.323406698,0
baseline,C,72,2.358257798,2.358257798,0
baseline,C,73,2.393631665,2.393631665,0
baseline,C,74,2.42953614,2.42953614,0
baseline,C,75,2.465979182,2.465979182,0
baseline,C,76,2.50296887,2.50296887,0
baseline,C,77,2.540513403,2.540513403,0
baseline,C,78,2.578621104,2.578621104,0
baseline,C,79,2.61730042,2.61730042,0
baseline,C,80,2.656559927,2.656559927,0
baseline,C,81,2.696408326,2.696408326,0
baseline,C,82,2.736854451,2.736854451,0
baseline,C,83,2.777907267,2.777907267,0
baseline,C,84,2.819575876,2.819575876,0
baseline,C,85,2.861869514,2.861869514,0
baseline,C,86,2.904797557,2.904797557,0
baseline,C,87,2.948369521,2.948369521,0
baseline,C,88,2.992595063,2.992595063,0
baseline,C,89,3.037483989,3.037483989,0
baseline,C,90,3.083046249,3.083046249,0
baseline,C,91,3.129291943,3.129291943,0
baseline,C,92,3.176231322,3.176231322,0
baseline,C,93,3.223874792,3.223874792,0
baseline,C,94,3.272232914,3.272232914,0
baseline,C,95,3.321316407,3.321316407,0
baseline,C,96,3.371136154,3.371136154,0
baseline,C,97,3.421703196,3.421703196,0
baseline,C,98,3.473028744,3.473028744,0
baseline,C,99,3.525124175,3.525124175,0
baseline,C,100,3.578001038,3.578001038,0
baseline,C,101,3.631671053,3.631671053,0
baseline,C,102,3.686146119,3.686146119,0
baseline,C,103,3.741438311,3.741438311,0
baseline,C,104,3.797559885,3.797559885,0
baseline,C,105,3.854523284,3.854523284,0
baseline,C,106,3.912341133,3.912341133,0
baseline,C,107,3.97102625,3.97102625,0
baseline,C,108,4.030591644,4.030591644,0
baseline,C,109,4.091050518,4.091050518,0
baseline,C,110,4.152416276,4.152416276,0
baseline,C,111,4.21470252,4.21470252,0
baseline,C,112,4.277923058,4.277923058,0
baseline,C,113,4.342091904,4.342091904,0
baseline,C,114,4.407223282,4.407223282,0
baseline,C,115,4.473331632,4.473331632,0
baseline,C,116,4.540431606,4.540431606,0
baseline,C,117,4.60853808,4.60853808,0
baseline,C,118,4.677666151,4.677666151,0
baseline,C,119,4.747831144,4.747831144,0
baseline,C,120,4.819048611,4.819048611,0
baseline,C,121,4.89133434,4.89133434,0
baseline,C,122,4.964704355,4.964704355,0
baseline,C,123,5.03917492,5.03917492,0
baseline,C,124,5.114762544,5.114762544,0
baseline,C,125,5.191483982,5.191483982,0
baseline,C,126,5.269356242,5.269356242,0
baseline,C,127,5.348396586,5.348396586,0
baseline,C,128,5.428622535,5.428622535,0
baseline,C,129,5.510051873,5.510051873,0
baseline,C,130,5.592702651,5.592702651,0
baseline,C,131,5.67659319,5.67659319,0
baseline,C,132,5.761742088,5.761742088,0
baseline,C,133,5.84816822,5.84816822,0
baseline,C,134,5.935890743,5.935890743,0
baseline,C,135,6.024929104,6.024929104,0
baseline,C,136,6.115303041,6.115303041,0
baseline,C,137,6.207032586,6.207032586,0
baseline,C,138,6.300138075,6.300138075,0
baseline,C,139,6.394640146,6.394640146,0
baseline,C,140,6.490559748,6.490559748,0
baseline,C,141,6.587918145,6.587918145,0
baseline,C,142,6.686736917,6.686736917,0
baseline,C,143,6.78703797,6.78703797,0
baseline,C,144,6.88884354,6.88884354,0
baseline,C,145,6.992176193,6.992176193,0
baseline,C,146,7.097058836,7.097058836,0
baseline,C,147,7.203514719,7.203514719,0
baseline,C,148,7.311567439,7.311567439,0
baseline,C,149,7.421240951,7.421240951,0
unanticipated,C,0,0.8073023882,0.8073023882,0
unanticipated,C,1,0.819411924,0.819411924,0
unanticipated,C,2,0.8317031029,0.8317031029,0
unanticipated,C,3,0.8441786494,0.8441786494,0
unanticipated,C,4,0.8568413292,0.8568413292,0
unanticipated,C,5,0.8696939491,0.8696939491,0
unanticipated,C,6,0.8827393584,0.8827393584,0
unanticipated,C,7,0.8959804487,0.8959804487,0
unanticipated,C,8,0.9094201555,0.9094201555,0
unanticipated,C,9,0.9230614578,0.9230614578,0
unanticipated,C,10,0.9369073797,0.9369073797,0
unanticipated,C,11,0.9509609904,0.9509609904,0
unanticipated,C,12,0.9652254052,0.9652254052,0
unanticipated,C,13,0.9797037863,0.9797037863,0
unanticipated,C,14,0.9943993431,0.9943993431,0
unanticipated,C,15,1.009315333,1.009315333,0
unanticipated,C,16,1.024455063,1.024455063,0
unanticipated,C,17,1.039821889,1.039821889,0
unanticipated,C,18,1.055419218,1.055419218,0
unanticipated,C,19,1.071250506,1.071250506,0
unanticipated,C,20,1.087319263,1.087319263,0
unanticipated,C,21,1.103629052,1.103629052,0
unanticipated,C,22,1.120183488,1.120183488,0
unanticipated,C,23,1.13698624,1.13698624,0
unanticipated,C,24,1.154041034,1.154041034,0
unanticipated,C,25,1.17135165,1.17135165,0
unanticipated,C,26,1.188921924,1.188921924,0
unanticipated,C,27,1.206755753,1.206755753,0
unanticipated,C,28,1.224857089,1.224857089,0
unanticipated,C,29,1.243229946,1.243229946,0
unanticipated,C,30,1.261878395,1.261878395,0
unanticipated,C,31,1.280806571,1.280806571,0
unanticipated,C,32,1.300018669,1.300018669,0
unanticipated,C,33,1.31951895,1.31951895,0
unanticipated,C,34,1.339311734,1.339311734,0
unanticipated,C,35,1.35940141,1.35940141,0
unanticipated,C,36,1.379792431,1.379792431,0
unanticipated,C,37,1.400489317,1.400489317,0
unanticipated,C,38,1.421496657,1.421496657,0
unanticipated,C,39,1.442819107,1.442819107,0
unanticipated,C,40,1.464461394,1.464461394,0
unanticipated,C,41,1.486428314,1.486428314,0
unanticipated,C,42,1.508724739,1.508724739,0
unanticipated,C,43,1.53135561,1.53135561,0
unanticipated,C,44,1.554325944,1.554325944,0
unanticipated,C,45,1.577640834,1.577640834,0
unanticipated,C,46,1.601305446,1.601305446,0
unanticipated,C,47,1.625325028,1.625325028,0
unanticipated,C,48,1.649704903,1.649704903,0
unanticipated,C,49,1.674450477,1.674450477,0
unanticipated,C,50,0.8073023882,1.699567234,-52.49953211
unanticipated,C,51,0.8137636407,1.725060742,-52.8269573
unanticipated,C,52,0.826159895,1.750936654,-52.8161174
unanticipated,C,53,0.8387284819,1.777200703,-52.80620358
unanticipated,C,54,0.8514718039,1.803858714,-52.79720095
unanticipated,C,55,0.8643922454,1.830916595,-52.78909766
unanticipated,C,56,0.8774921685,1.858380344,-52.78188496
unanticipated,C,57,0.890773909,1.886256049,-52.77555719
unanticipated,C,58,0.9042397717,1.914549889,-52.77011183
unanticipated,C,59,0.917892025,1.943268138,-52.76554958
unanticipated,C,60,0.9317328957,1.97241716,-52.76187438
unanticipated,C,61,0.9457645621,2.002003417,-52.75909352
unanticipated,C,62,0.9599891479,2.032033469,-52.7572177
unanticipated,C,63,0.9744087141,2.062513971,-52.75626114
unanticipated,C,64,0.9890252514,2.09345168,-52.75624172
unanticipated,C,65,1.003840671,2.124853455,-52.75718103
unanticipated,C,66,1.018856796,2.156726257,-52.75910458
unanticipated,C,67,1.034075348,2.189077151,-52.76204188
unanticipated,C,68,1.04949794,2.221913308,-52.76602665
unanticipated,C,69,1.065126061,2.255242008,-52.77109695
unanticipated,C,70,1.080961066,2.289070638,-52.77729536
unanticipated,C,71,1.097004158,2.323406698,-52.78466919
unanticipated,C,72,1.113256376,2.358257798,-52.79327066
unanticipated,C,73,1.129718577,2.393631665,-52.80315709
unanticipated,C,74,1.14639142,2.42953614,-52.81439113
unanticipated,C,75,1.163275349,2.465979182,-52.82704098
unanticipated,C,76,1.18037057,2.50296887,-52.84118057
unanticipated,C,77,1.197677033,2.540513403,-52.85688981
unanticipated,C,78,1.215194411,2.578621104,-52.8742548
unanticipated,C,79,1.232922077,2.61730042,-52.89336803
unanticipated,C,80,1.250859079,2.656559927,-52.91432857
unanticipated,C,81,1.269004118,2.696408326,-52.93724226
unanticipated,C,82,1.287355523,2.736854451,-52.9622219
unanticipated,C,83,1.305911226,2.777907267,-52.98938734
unanticipated,C,84,1.324668731,2.819575876,-53.01886562
unanticipated,C,85,1.343625099,2.861869514,-53.05079103
unanticipated,C,86,1.36277691,2.904797557,-53.08530516
unanticipated,C,87,1.382120246,2.948369521,-53.12255683
unanticipated,C,88,1.401650667,2.992595063,-53.16270203
unanticipated,C,89,1.42136318,3.037483989,-53.20590379
unanticipated,C,90,1.441252228,3.083046249,-53.25233188
unanticipated,C,91,1.461311663,3.129291943,-53.3021626
unanticipated,C,92,1.481534732,3.176231322,-53.3555783
unanticipated,C,93,1.501914064,3.223874792,-53.41276691
unanticipated,C,94,1.522441659,3.272232914,-53.47392135
unanticipated,C,95,1.543108883,3.321316407,-53.53923884
unanticipated,C,96,1.563906468,3.371136154,-53.60892006
unanticipated,C,97,1.584824511,3.421703196,-53.6831683
unanticipated,C,98,1.605852488,3.473028744,-53.76218837
unanticipated,C,99,1.62697927,3.525124175,-53.84618558
unanticipated,C,100,1.487042594,3.578001038,-58.43929114
unanticipated,C,101,1.488060291,3.631671053,-59.02546599
unanticipated,C,102,1.489615512,3.686146119,-59.58880999
unanticipated,C,103,1.491708768,3.741438311,-60.13007179
unanticipated,C,104,1.494340493,3.797559885,-60.64998215
unanticipated,C,105,1.497511041,3.854523284,-61.14925426
